candidate_a,candidate_b,normalized_a,normalized_b,similarity_score,review_confidence,reason
US Food and Drug Administration,the Food and Drug Administration,US FOOD AND DRUG ADMINISTRATION,THE FOOD AND DRUG ADMINISTRATION,0.9206,0.6,very_high_string_similarity_but_not_exact
the Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,THE BILL AND MELINDA GATES FOUNDATION,BILL AND MELINDA GATES FOUNDATION,0.9429,0.6,very_high_string_similarity_but_not_exact
the US Food and Drug Administration,the Food and Drug Administration,THE US FOOD AND DRUG ADMINISTRATION,THE FOOD AND DRUG ADMINISTRATION,0.9552,0.6,very_high_string_similarity_but_not_exact
Delaware 0-19731,Delaware 000-19731,DELAWARE 0 19731,DELAWARE 000 19731,0.9412,0.6,very_high_string_similarity_but_not_exact
the Delaware General Corporation Law,the General Corporation Law,THE DELAWARE GENERAL CORPORATION LAW,THE GENERAL CORPORATION LAW,0.8571,0.5,high_string_similarity
the Effective Time,the “Effective Date,THE EFFECTIVE TIME,THE EFFECTIVE DATE,0.8889,0.5,high_string_similarity
"Amphastar Pharmaceuticals, Inc.","Armstrong Pharmaceuticals, Inc.",AMPHASTAR PHARMACEUTICALS INC,ARMSTRONG PHARMACEUTICALS INC,0.8621,0.5,high_string_similarity
"Amphastar Pharmaceuticals, Inc.","Amphastar Nanjing Pharmaceuticals, Inc.",AMPHASTAR PHARMACEUTICALS INC,AMPHASTAR NANJING PHARMACEUTICALS INC,0.8788,0.5,high_string_similarity
nasal spray administration,nasal administration,NASAL SPRAY ADMINISTRATION,NASAL ADMINISTRATION,0.8696,0.5,high_string_similarity
glucagon,pGlucagon,GLUCAGON,PGLUCAGON,0.9412,0.6,very_high_string_similarity_but_not_exact
HEK-Blue™-hNOD1,HEK-Blue™-hNOD2,HEK BLUE HNOD1,HEK BLUE HNOD2,0.9286,0.6,very_high_string_similarity_but_not_exact
"Nanjing Anji Biotechnology Co., Ltd.","Nanjing Letop Biotechnology Co., Ltd.",NANJING ANJI BIOTECHNOLOGY CO LTD,NANJING LETOP BIOTECHNOLOGY CO LTD,0.8657,0.5,high_string_similarity
Licensed Products,the Licensed Products,LICENSED PRODUCTS,THE LICENSED PRODUCTS,0.8947,0.5,high_string_similarity
Licensed Products,the Licensed Product,LICENSED PRODUCTS,THE LICENSED PRODUCT,0.8649,0.5,high_string_similarity
each Licensed Product,the Licensed Products,EACH LICENSED PRODUCT,THE LICENSED PRODUCTS,0.8571,0.5,high_string_similarity
each Licensed Product,the Licensed Product,EACH LICENSED PRODUCT,THE LICENSED PRODUCT,0.878,0.5,high_string_similarity
the Licensed Products,the Licensed Product,THE LICENSED PRODUCTS,THE LICENSED PRODUCT,0.9756,0.6,very_high_string_similarity_but_not_exact
the License Agreement,License Agreement,THE LICENSE AGREEMENT,LICENSE AGREEMENT,0.8947,0.5,high_string_similarity
the “Contract Research Amendment,the Contract Research Agreement,THE CONTRACT RESEARCH AMENDMENT,THE CONTRACT RESEARCH AGREEMENT,0.9032,0.5,high_string_similarity
the Contract Research Agreement,the “Contract Research Amendment,THE CONTRACT RESEARCH AGREEMENT,THE CONTRACT RESEARCH AMENDMENT,0.9032,0.5,high_string_similarity
the Zhou Employment Agreement,the Employment Agreements,THE ZHOU EMPLOYMENT AGREEMENT,THE EMPLOYMENT AGREEMENTS,0.8889,0.5,high_string_similarity
British Society of Gastroenterology,the British Society of Gastroenterology,BRITISH SOCIETY OF GASTROENTEROLOGY,THE BRITISH SOCIETY OF GASTROENTEROLOGY,0.9459,0.6,very_high_string_similarity_but_not_exact
hydrogel,Hydrogen,HYDROGEL,HYDROGEN,0.875,0.5,high_string_similarity
Term Loan Credit Agreement,the Term Loan Credit Agreement,TERM LOAN CREDIT AGREEMENT,THE TERM LOAN CREDIT AGREEMENT,0.9286,0.6,very_high_string_similarity_but_not_exact
Term Loan Credit Agreement,the Term Loan Credit Agreement,TERM LOAN CREDIT AGREEMENT,THE TERM LOAN CREDIT AGREEMENT,0.9286,0.6,very_high_string_similarity_but_not_exact
Dengue/Chikungunya,Dengue/Chikungunya/Zika,DENGUE CHIKUNGUNYA,DENGUE CHIKUNGUNYA ZIKA,0.878,0.5,high_string_similarity
C D. WIPO,B D. WIPO,C D WIPO,B D WIPO,0.875,0.5,high_string_similarity
Kuder Richardson 20,the Kuder Richardson 20,KUDER RICHARDSON 20,THE KUDER RICHARDSON 20,0.9048,0.5,high_string_similarity
the Cause of Death Ensemble,GBD Cause of Death Ensemble,THE CAUSE OF DEATH ENSEMBLE,GBD CAUSE OF DEATH ENSEMBLE,0.8889,0.5,high_string_similarity
the Cause of Death Ensemble,a Cause of Death Ensemble,THE CAUSE OF DEATH ENSEMBLE,A CAUSE OF DEATH ENSEMBLE,0.9231,0.6,very_high_string_similarity_but_not_exact
GBD Cause of Death Ensemble,a Cause of Death Ensemble,GBD CAUSE OF DEATH ENSEMBLE,A CAUSE OF DEATH ENSEMBLE,0.9231,0.6,very_high_string_similarity_but_not_exact
the International Classification of Diseases,International Classification of Diseases,THE INTERNATIONAL CLASSIFICATION OF DISEASES,INTERNATIONAL CLASSIFICATION OF DISEASES,0.9524,0.6,very_high_string_similarity_but_not_exact
the Fractional Flow Reserve,Fractional Flow Reserve,THE FRACTIONAL FLOW RESERVE,FRACTIONAL FLOW RESERVE,0.92,0.6,very_high_string_similarity_but_not_exact
Veteran Affairs,Veterans Affairs,VETERAN AFFAIRS,VETERANS AFFAIRS,0.9677,0.6,very_high_string_similarity_but_not_exact
American Society of Metabolic,American Society for Metabolic,AMERICAN SOCIETY OF METABOLIC,AMERICAN SOCIETY FOR METABOLIC,0.9492,0.6,very_high_string_similarity_but_not_exact
